comment,replies,date,user_name
"King Gizzard and the Lizard Wizard's Gear:
Mesa Boogie PowerHouse Attenuator - https://sweetwater.sjv.io/q4e3Wj
Fender Hot Rod Deluxe - https://sweetwater.sjv.io/DKjgB2
Boss TU-3 - https://sweetwater.sjv.io/jryA4M
Boss DD-3T - http://sweetwater.sjv.io/21QdzO
Fender Wah - https://sweetwater.sjv.io/jrM3Rv
Dunlop Volume X Mini - https://sweetwater.sjv.io/q4n5vq
Gibson Flying V - https://sweetwater.sjv.io/B0q0z9
Dunlop Cry Baby - https://sweetwater.sjv.io/AWa9Xx
Strymon Sunset - https://sweetwater.sjv.io/3eOoKK
EHX Flatiron Fuzz - https://sweetwater.sjv.io/k0734n
Wampler Ego - https://sweetwater.sjv.io/anBmNb
Boss LS-2 - https://sweetwater.sjv.io/ZQ1EbQ","['No links at all to any gear NOT from America.\n\nNice, well played.', ""\u200b@@claudevieaul1465You're a grown up. Google exists"", ""I reckon you guys a missing a beat with your mid-vid ads. Showing off a version of the pedalboard that matches (as much as sensibly possible)  the rig rundown act, I think you'd get a *lot* of interest.""]",2024-10-23T15:41:47Z,@premierguitar
"Some serious facial handle-bars going on here. As a hairy man, I approve.",[],2024-11-10T00:22:24Z,@shayneoneill1506
Stu Mackenzie seems like an amazing human to have a conversation with,[],2024-11-09T19:44:22Z,@pigeontwister
Says like too much. It’s like weird.,[],2024-11-09T09:50:01Z,@cassidicci4
JOEY GOT WAVES⁉️⁉️⁉️,[],2024-11-09T08:22:18Z,@goose_esooge
It’s so weird hearing an Australian accent on YouTube as an Aussie myself 😂,[],2024-11-09T04:59:19Z,@SquizbarDeAlienOfficial
Learning about this band has been one of the best things to ever happen to me,[],2024-11-09T04:08:29Z,@kobaltimusprime4847
i forgot the do microtonal and was like wtf is that guitar so out of tune,[],2024-11-08T21:18:45Z,@ElmoRitter
Like like like like like like like like,[],2024-11-08T19:48:41Z,@joaocruz3292
Lads on the bag in America love to see it,[],2024-11-08T13:52:23Z,@dadthedrugexpert6721
I need more metal from these guys,[],2024-11-07T13:14:14Z,@Elwin-w3v
Didn't realize MrBallen was in a bad,[],2024-11-05T20:28:12Z,@sausage_fingerz6802
I wonder did stu knows Turkish electric microtonal instrument 'caglama' . people who is in to this type of sht should check it !,[],2024-11-05T08:42:51Z,@jaanlove-y4t
Cant take my eyes off the shirt,[],2024-11-04T20:17:48Z,@weekend-phantom
"Its funny seeing so many people in the comments finding their fashion sense remarkable, but for me living in Melbourne its so normal it didn't even register to me as unusual in any way. Every second person you see walking around in Brunswick or Fitzroy is dressed like this.",[],2024-11-04T09:42:22Z,@d-culture927
They totally sound like shit haha,[],2024-11-04T06:23:06Z,@berniebro420
Woah I saw them in Nashville on this same night,[],2024-11-04T02:05:38Z,@Xerin
rip stu's hagstrom,[],2024-11-04T01:51:02Z,@loinbread
"As Australians we need to stop saying ""like"" so much lmao",[],2024-11-04T01:24:15Z,@biggeorgewardlaw
"that second of ""knoflery shit"" was a gem!",[],2024-11-03T09:51:26Z,@matteopremoli9552
Wearing crocs on stage 😂 clown,[],2024-11-03T08:35:22Z,@worldofcricketchannel
Man what a band 😂,[],2024-11-03T08:34:32Z,@worldofcricketchannel
Darkthrone + Crocs. This is gizzard,[],2024-11-03T06:36:11Z,@VonSlakken
dios bendiga kgatlw,[],2024-11-02T22:20:42Z,@2012plu
Joeeeeee. Wearing crocs 😂🤣🐊,[],2024-11-02T20:07:51Z,@BolognaShip
this premier guitar guy is a nerd,[],2024-11-02T19:46:41Z,@s4gviews
Where was this video 4 years ago when I had no clue about pedals and how gizz created this sound,[],2024-11-02T16:47:01Z,@adriansullivan4433
