comment,replies,date,user_name
I’ve never heard anyone say anything good about then liberals,[],2024-11-09T21:49:06Z,@Aaron-mc1xq
"No one is going to vote for Freeland she acts like she's on crack 24/7 lol. The Liberals don't even want Trudeau and got together to try and get him out.. He didn't leave. Trudeau also has so much shit against him. He spent $220,000 on airplane food. He funnels money to him friends and family and has had several conflicts of interest and ethics committee issues that we're just ignoring apparently like the 9mil New York apartment for his buddy, the We charity where he gave them 400mil to go around and buy real estate or how he pushed out the attorney general because she thought he was doing sketchy shit. Or my favourite.. How arrivescam cost around $54 MILLION!! when it should've cost about $80,000. People need to do some research on who they're voting for.",[],2024-11-09T20:28:12Z,@kimberlywoodford
"Right wing left wing…same broken bird. When the wings flap out of synch and only function to keep their own wing flapping through polarization and trying to beat the other wing, a unified nation cannot exist. Politics in general needs a massive overhaul which includes a large reform in partisanship. I am more confident in elementary school children to in general do more good for the public than I am politicians. Luckily for us, massive global institutional change is here. Let’s let it be a relatively smooth transition.",[],2024-11-09T20:08:16Z,@gavinpollard367
Trudeau has destroyed Canada 🇨🇦 our amazing and beautiful country  he has turned against the people of Canada 🇨🇦 fuck Trudeau,[],2024-11-09T18:39:33Z,@James-v6y4g
"I think Canadians rely on the gov too much for everything, the rising cost of living is a global phenomenon, to blame it on a political leader is myopic. A lot of ppl never liked Trudeau because he is the son of Pierre Trudeau who was very liked in the east and despised in the west.",[],2024-11-09T15:05:19Z,@MM-fy8yx
"Too Long Didn't Listen: Tardeau brought an actual, real life, WWII, En Eh Zed Eye into Parliament and gave him a standing ovation. He should have been removed immediately because that is nuts. He is special needs dumb. People are not turning right so much as they are just waking up to basic facts. Every race, class and gender is represented in the group of people who want to see this idiot gone so we can get back to what Canadians do best: researching the best way to get mice into beer bottles after a long day of shinny.",[],2024-11-09T14:01:30Z,@CrappyGardener
Freeland popular? You are nuts! 😅,[],2024-11-09T11:02:09Z,@selvatheesonnamasivayam988
EVERYBODY HATE THE GUTS OF THIS TROU D'EAU!(La flaque de pisse!),[],2024-11-09T03:01:44Z,@michelross-m4v
My issue is the loosening of gun ownership,[],2024-11-08T21:16:01Z,@chessrock8394
"The entire western world is going through a right wing swing at the moment, not just Canada.",[],2024-11-08T21:12:48Z,@kayskreed
"Didn’t defeat shit, he cheated with immigrant votes to suppress citizen votes",[],2024-11-08T18:18:20Z,@GrimHC
"Imma make it simple for you all : Trudeau had a plan to massively increase population by 2100 (largely thanks to immigration) and didn’t bother about the making sure the provincial infrastructures and the immediate economy could sustain his dreams. Thank you, next.",[],2024-11-08T17:32:54Z,@brucemooney1277
"Trudeau has no sense of the common man.  
Thinks like a communist leader",[],2024-11-08T14:18:45Z,@nancyderksen1650
Can’t stand Freeland. Another fruitloop,[],2024-11-08T14:17:19Z,@nancyderksen1650
As a Canadian I can confidently say we're all sick of Trudeau and his Liberal government. He's been actively destroying Canada for almost a decade. We are far worse off then before he came into power,[],2024-11-08T10:13:05Z,@knightrider693
"It will be bad if trump's win 'scares' some Canadians from being right winged and trudeau gets back in again. Let's see what happens, right now I support Poilievre.",[],2024-11-08T02:27:47Z,@joshhenwood1784
You really need to watch what you write on the thumbnail of your videos. They're often misleading.,[],2024-11-07T13:57:52Z,@liamlabelle8653
Even the far left can only put up with a Clown for so long,[],2024-11-07T13:10:08Z,@gordonloos1846
Freeland is hated just as much as JT  can’t stand the way she speaks to Canadians like we are all 4 year olds,[],2024-11-07T12:56:10Z,@jw6496
"I've never voted Conservative before, but I'm pretty convinced with Poilievre.
We are no longer at the time where hard conservative is realistic, we grew too much as a population to fall on old habits, but far left has really not worked at all, pretty much everywhere in the world. And Trudeau has done a terrible job with the time he had.",[],2024-11-07T11:09:12Z,@D-Boy22
"Trudeau HAS NEVER won the popular vote  he insured the minority / liberal voters are in key places .  In 2015 trudeau announced the greatest threat to Canada is the whites , christians , anglos and the old stock Canadians  he had plans to replace with migrants through the pact he and freeland signed with a NAZI collaborator later he was imposing UN inspired gun laws ,trudeau announced he was passing laws to make his government and future governments  legally accountable to the UN , before the pandemic he arranged for chinese scientists to leave the country with live ebola viruses  then GAVE himself POGG powers that allowed him to override the constitution and parliament vote process , during the pandemic he announced he was turning Canadas future over to the UN and their approved NGO'S to handle our environment , economy and our immigration . So basically trudeau and his cabinet of foreign nationals turned Canada into a fascist led dictatorship .",[],2024-11-07T04:37:51Z,@gordonmorris751
"I understand wanting Trudeau out but why not lobby the liberal government for the policies you care about? 
Why not try and make the liberals accountable in a way that doesn't absolutely ruin our country. look at the US. do you really want that 
You really think a conservative government will help Canada? fuck no. You're a troglodyte if you think otherwise.",[],2024-11-07T04:18:29Z,@matthewkaikai6174
"Because we follow the US. About 10-15 years behind. Which is *fucking concerning*. Its no accident that Ive noted more racist and hateful rhetoric amongst my peers again, something that most had left behind 10-15 years ago. I've had to start slapping people (or decking them as appropriate) for speaking such filth. You can say it. But stupid should hurt. Being a bigot should hurt. I am merely the delivery vehicle of that lesson. You'll either learn from it or get the fuck out of my life, that choice is yours. 

Needed to do that to a lot of my peers growing up. Thankfully most of them it seems to have stuck. But a few have started to regress, and most have since cut me off, since my response immediately is a swift fucking backhand and the reminder ""talk shit, get hit."" That being said Pierre here has not struck me as the same as other con leaders in the past, whom struck me immediately as basically ""Your all raging pricks and I'd likely have gotten tired in my elbow and shoulder from growing up with you with the amount of smacking you for dumb, distasteful, evil and plain horrible stuff you would say."" 

Pierre here has not given me quite those vibes. Theres been one or two times where I've heard stuff he's said and that reaction of *yeah that should earn a fucking smack* kicks in. But compared to predecessors its surprisingly low. So I'm at least intrigued. I'm jaded about politicians, I'm of the opinion they are all criminals. Pierre is too. They are all crooked as shit I don't care, they are, they all are. No one can have that kind of power and money moving around them and not be. So its more a question of ""Is he too crooked and to much of a shit head? Do I think he should just take a long walk off a short pier?"" Thus far for Pierre my answer is no, so he has my attention at least. Not a vote, I don't commit to voting for a person or a party. Once I got a full spectrum of what the policy goals and missions are for all involved then I'll make a decision based off that for my local representative, I couldn't care less about which party 'wins' prime minister. That isn't how our government is supposed to function. So I don't care about that shit. I don't care what team your on, I care what your policy plans and goals are and do I think they are in the community/country's best interests and will help us the most out of the options on the table. This is why I still vote even though I don't like or trust a single person in politics period. None of them.",[],2024-11-07T02:51:01Z,@Keon753
"The only thing that can save the Liberal Party is if they completely turn out the housing issues.
Not just make it a little better. Completely turn it around.
Also Marriage Equality is a fundamental right enshrined in our Canadian Charter, why are politicians still running on it? Leave it alone and move on, can we concentrate on things that are more important and actually matter? Gay people getting married isn't hurting anyone but the feelings of Religious people, and I'm kind of OK with that. Canada isn't a place for anyone that believes they deserve more freedom or rights than other people, that's what the United States is for. 
I want less talking about things that don't matter, and more action on the things that do.",[],2024-11-06T19:15:58Z,@The.Johnson.Family.Adventures
"If you knew a significant amount of info about trudeau, and were honest, your video would be much different",[],2024-11-06T18:19:31Z,@lukaswarnica9310
It’s because the liberals are killing everything to do with the Canadian economy and culture. The liberals are a death cult. They hate human life and they praise evils.,[],2024-11-06T13:55:57Z,@quintonswain-df1oc
"freeland is the worst, most out of touch human with reality",[],2024-11-06T12:23:32Z,@dbdb-hf1gc
"I don't know... could be because he lies each time his mouth opens; he has emptied the federal coffers by giving $ away to other countries, his friends or to his donors; losing it (somewhere), or mis-spending it on bad choices, entertainment trips, and holidays - we don't even wan't to get into his 'water' of choice... he is a poor administrator, doesn't like the Canadian people - especially those who don't do as they are told, and is in league with the WEF, doing as THEY bid, not what the country needs. Generally speaking he has brought Canada down to an unimaginably low level to the rest of the world and worst of all, he has badly misjudged the hearts of 'average' Canadians because all he has ever known are those who don't have to work for a living, pay rent or try to figure out how to feed their kids. If asked to sign a petition to NOT GIVE HIM A PENSION I would sign it, smiling... along with all of those in his immediate circle who have defrauded Canadians.",[],2024-11-06T05:15:55Z,@dawnbouquot8569
Hes a liar and a thief,[],2024-11-05T20:46:44Z,@zigzag420mf
I thought Canada is a communist country,[],2024-11-05T09:32:29Z,@deooo23
"trudeau a straight up thief we need govt to cut goverment spending big time. As someone from quebec we need to ban bloc quebecois and cut our spending. LET ALBERTA DRILL, we need money XD",[],2024-11-04T23:54:40Z,@BillyDBillJoeMAMA
He couldn’t run a lemonade stand,[],2024-11-04T23:40:59Z,@carolhowson228
Trudeau gets his funds from the Khalistanis and that will undo him.  Same way Hillary got financed by jihadis and that ended her carrier too.,[],2024-11-04T23:07:09Z,@MrCMVikram
"Its been 2 years of Poilievre blaming Trudeau for everything. A very effective hate campaign that a lot of morons in Canada are eating up. The fact that some rednecks are driving around with ""F*** Trudeau"" flags tells you everything about how our political system is adopting American negativity.",['cope pinko'],2024-11-04T22:28:31Z,@RoquetSynce
Abbott destroyed Gillard and her carbon tax in Australia about 15 years ago. Funny the similarities here,[],2024-11-04T12:11:48Z,@jimjam751
The Saskatchewan party is actually very conservative as far as Fort Qu'Appelle.,[],2024-11-04T06:43:19Z,@perrycomeau2627
Huge conflict of interest for someone to be in power of a federal democracy so long. He's acting as a mild version of Donald Trump and in need of a new wardrobe. He doesn't understand the shy and timid prairie people. The list goes on and on. I myself am of the Northwest Co. and a spirit of Coureur des bois. Woof! Woof!.,[],2024-11-04T06:37:26Z,@perrycomeau2627
He is too left!,[],2024-11-04T00:48:46Z,@DariaMiedzinski
"The real problem Canada is facing is NOT having a liberal PM Trudeau, but the liberal majority of the voters who voted to put him in power again and again in recent years. The people asked for it, and they now got what they wanted. No one else to blame but the liberal Canadians themselves.",[],2024-11-04T00:08:59Z,@pastoryau2237
Chrystia Freeland is not mentally fit to be a leader.,[],2024-11-03T18:30:44Z,@RoDev
Loosers,[],2024-11-03T16:44:52Z,@RaviShankar-pr5vv
Because he is a dustbin,[],2024-11-03T16:44:36Z,@RaviShankar-pr5vv
"Alot of paid negitive ads are done by Russia China, and others. This is because he keeps them from controling",[],2024-11-03T12:32:10Z,@HaroldDc-qj7on
Trudeau is no good. NDP are blackmailers. The liberals and NDP have destroyed Canada.,[],2024-11-02T23:38:30Z,@greggieboy393
