comment,replies,date,user_name
"More laws are not the answer.....stars should stop reading online posts, if they feel they can't handle them.  I'm not victim shaming, it's just common sense.",[],2024-10-03T09:55:35Z,@Doris-i3o
Suill passed away 🪦 rest in peace⚰️,[],2024-08-28T20:53:32Z,@iflineshaq32674
R.I.P sulli😢,[],2024-08-20T21:35:20Z,@KristelamarieMarcial
RIP,[],2024-07-23T16:21:18Z,@zohormohamed7838
"How come the people that put her in depression act like they loved her and cared about her 

STOP ACTING LIKE ANGELS!!",[],2024-07-14T11:24:52Z,@sumeyyeozcelik12
Anyone in 2024?,[],2024-06-07T01:39:03Z,@yeyto-xq1ex
People killed her 🥀,[],2024-05-21T14:57:36Z,@good-hs3zw
I hate u sulli why u did this to u !!!!! It's 5 years since u left please 🥺 come back 🔙,[],2024-05-13T11:19:58Z,@Lily_kim27
"Sulli:I want to be a mom before I die
Billie:I'd rather die than have kids",[],2024-05-13T07:35:25Z,@kirilvelinov7774
sulliiii... i'm her fans 😭 i miss her smile..,[],2024-04-17T07:35:32Z,@haitata
It could be a murder too,[],2024-04-06T13:31:08Z,@Laurence-h6w
"She didn’t kill herself because of the hate comments, it’s because this kpop industry is so tuff and the idols don’t have a life , so many obligations, they are forcing them to do things",[],2024-03-27T08:04:40Z,@Romiiii111
Lookism and materialism in capitalistic society is so brutal 😢,[],2024-03-22T20:02:22Z,@Razzle_Dazzle-
Sulli is soooo pretty why do people hate her she is my favorite of (f)X,[],2024-03-19T04:48:55Z,@Zarqaish
Bro i cant blame anyone who has issues in past imainge if that happen to me i might no longer alive please treat everyone nicely and more at the end of day you might not know what they gonna through-,[],2024-03-17T20:16:11Z,@Kinich-f2p
"01:24 Why was she a ""controversial figure"" ?","[""I don't know 😕""]",2024-03-06T23:31:22Z,@Radek494
even after 4 years this still shook the kpop industry. RIP Sulli ❤️,[],2024-02-20T15:17:36Z,@chaerryoung_
#JMCIMtestimony,[],2024-01-18T05:43:06Z,@faephalvosjin7931
"Ecclesiastes 7:21-22 New Century Version (NCV)
Don’t listen to everything people say, or you might hear your servant insulting you. You know that many times you have insulted others.
Ecclesiastes 7:21-22 New King James Version (NKJV)
Also do not take to heart everything people say, Lest you hear your servant cursing you. For many times, also, your own heart has known That even you have cursed others.",[],2024-01-18T05:30:28Z,@faephalvosjin7931
triste noticia 😥🌷,[],2023-12-27T06:26:51Z,@mariajoserojasrivas7194
No law. No when.,[],2023-12-01T02:27:59Z,@princeLaharl2
"Why k0reans are so toxic? Why why why? Why cant u let celebs and idols live a normal life? They seem like puppets of toxic fans and citizens of k0rea, kdrama is all false","['International fans hated her too', 'If you do some deep research, the iceberg goes way deeper. Her friend also committed “suicide” a few weeks later.']",2023-11-22T15:51:21Z,@floor4714
"i am really sad about knowing she is death,she was really great actress 😢😢😭😭",[],2023-11-12T19:39:07Z,@zlatkojozipovic4121
I miss you so much SULLI😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔😭😭💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔,[],2023-10-31T12:20:16Z,@JENNIEKIM_28
"I dunno y people are rlly easy to judge others without knowing the truth. Poor Sulli, it must be hard for her to carry all the pressure. Rest in love, my pretty Sulli ❤️‍🩹",[],2023-10-14T08:45:54Z,@ronweasley-z6b
Yall koreans did this...koreans k*lled her....stop posting tribute videos like yall did care of her...murderers,['Korean❌ Knetz✅'],2023-08-28T16:46:14Z,@nilmininuwanthi4702
This is still almost not real to me. It really sunk into me today and feels more real now... shes really gone. Dont wqnt to believe it❤,[],2023-08-26T19:09:24Z,@psychedlicsouljam1995
I was crying when I saw this,[],2023-08-23T15:00:30Z,@AnaAnna-l9h
"⚠️Guys guys guys! I knew a bit about moonbins suicide and I think I may have predicted it! ⚠️ 

I commented on one of astros videos before moonbin died. I noticed how he was a bit negative. I knew from that point we had to save him! I spammed on the Astro videos saying “protect moonbin” but not many listened. Some asked me why so I explained and they spammed as well. Eventually I think YouTube deleted those comments I’m not sure but we couldn’t find them. Later on a few days later I got a notification of a video of moonbin being carried dead. I knew it was suicide and so I was literally crying! We lost a star! He was my bias from Astro!❤❤❤😢😢😢 please protect Lisa and the rest! I think Lisa may do this as she hadn’t renewed her contract. She may leave and than commit suicide. It’s just my thought so please do not attack me. Blackpink is an amazing group. Also I am translating this from Korean to English. Please protect everyone we cannot fail to protect the kpop community it is fading away. I know this is a video about sulli but here",[],2023-08-19T17:54:20Z,@BlackqtpinkOffical
"Peopel care whne it,s way too late. Rip sulli❤",[],2023-07-28T16:50:44Z,@rafiawaseem9003
Damn why bro 😢,[],2023-07-23T04:15:44Z,@kmmt582
너도 역겹고 너도 다 역겨워 그녀에게 그런 짓을 한 건 너야 그러니 그녀에게 자비를 베풀어라 그녀는 따돌림과 비참함으로 고통받았다 당신은 감정도 없고 살 가치도 없다 모든 사람들이 있다 세상의 모든 나라들 제발 죽었으면 좋겠다 설리 나쁜말 누가 하던 간에 그녀는 인간이다 그녀는 감정이 있다 너는 감정이 없다 넌 역겹다 그들 없는 세상이 더 낫다 설리 편히 쉬어라. 우리는 너를 사랑해 😢😢,[],2023-07-11T06:18:45Z,@MS_RELEANA
"I wish them all the best.
https://youtu.be/EGLSk3AVcUU",['Where ever this soul is. She deserves better ❤❤❤ \nhttps://youtu.be/MxZJv3gjXIU'],2023-05-22T11:27:54Z,@Dee-wb5qg
Sad,[],2023-05-16T11:04:17Z,@LemoChoden
"Sulli took her own life because of the hate and that, my friends, in the court is known as ACCIDENTAL MURDER. Are you happy haters? Or shall I say.. Criminals.",[],2023-04-24T13:18:43Z,@Themaskedbraidedgirl
It's so sad how many of my  Korean idol actors and actress will died b'coz of those sick people's bullied them?can u stop bullying to the others?and mind ur own self? Plss respect for those people's around you...i don't want this year of 2023 watching like this sudden death..it's so sad and heartbreaking for their fans,[],2023-01-11T21:59:05Z,@jilrishmoring9782
Still not reason to kill yourself,['Try being in her place.'],2022-12-31T03:25:32Z,@guacamole6856
"I wish with all my heart, that all the cursed who contributed to the death of this young girl, can in turn suffer atrociously from the worst disease and then die in the total agony they deserve!",[],2022-11-26T14:54:53Z,@jesuisrevolta5013
"Actually it's not just Sulli and Goo Hara committed Suicide in this year, Keith Flint and Brian Velasco both also committed suicide in this year",[],2022-11-08T12:30:26Z,@Roberto-dw5jz
And here we are 3 years later and nothing has still been done to stop  it.  Still going. So sad and tragic this beautiful women had to endure.,[],2022-10-20T05:56:18Z,@bigbeef8190
"Death to Hitra, Suli, kill them, not suicide.",[],2022-07-28T21:07:48Z,@hagarfoldfara7872
These society never gonna change,[],2022-06-20T12:33:40Z,@tameyaha2857
So sad of u 😭😭,[],2022-05-22T17:28:11Z,@sana-sq6eu
"sulli,
 thank you for being a feminist, pro choice, helping women to go braless, mental health awareness, for donating to women in needs, thank you for making great songs such as dayfly, dorothy, goblin, on the moon, dean and all of us love your voice, your style was everything , such an amazing friend and a role model <3

 we will fight together",[],2022-03-27T20:40:11Z,@gettingcalledoutontwitteri1882
