comment,replies,date,user_name
trudeau needs to goooo,[],2024-11-09T21:38:51Z,@davidwthomson9641
Give these guys 15.00 an hour and let them work   .  And then see what they say,[],2024-11-09T21:01:52Z,@carlosfasano800
No tax on overtime!!!,[],2024-11-09T20:46:01Z,@davidminer3193
Why is Trudeau still there. No one wants him. What has happened to Canada's democracy? Get him out of there!!!! That's the biggest problem  They're out of touch. He refuses to go.,[],2024-11-09T17:52:44Z,@chelsey1ize
Hey Justin! Are you going to continue to stand up for Feminine Hygiene Product Dispensers in Men's Bathrooms in Federal Buildings?,[],2024-11-09T17:09:07Z,@RickMartin-vk8vl
Excellent rebuttal by Trudeau.,[],2024-11-09T13:55:38Z,@rosannanadeau236
"Give it up Trudeau, he's not going to play into your stupid security trap",[],2024-11-09T13:42:50Z,@moreon4913
Every time Trudeau opens his mouth he's constantly lieing,[],2024-11-09T13:41:40Z,@julielaboucan2719
Idiots voted for Trudeau solely because he legalized weed.,[],2024-11-09T13:17:32Z,@availuponreq
Let's get Elon to find wasted money in Canada.   Trudeau would be in prison.,[],2024-11-09T13:16:06Z,@availuponreq
"I'm not the biggest fan of Trudeau. Although Pierre says that he wants to cut the carbon tax, when we receive rebates anyways - and it is hardly the driver of inflation. Showing rates as low as 1/54th of inflation during the pandemic. Carbon tax isn't the best solution to fighting climate change, but it's far quicker than policies. (which Pierre will set back decades of climate goals when he does ""axe the tax."") 

The only real change that needs  to come from this carbon tax is putting higher rebates into the pockets of the less wealthy. While taxing more and more the bigger corporations, in order to reach our climate goals. If we get rid of this economic incentive to stop polluting, companies will take full advantage and use more oil and natural gas than ever.",[],2024-11-09T12:42:13Z,@Radman2617
Tudo?🤮🤮🤮,[],2024-11-09T10:54:47Z,@eagleone-ff9lz
"Ok please cleare a doubt for me , they were initially talking in English and suddenly changed to another language which im guessing is French. Why is that ???",[],2024-11-09T09:00:28Z,@Iloveamericaaas
Elon said Justin Trudeau will gone！！Go Conservatives,[],2024-11-09T06:33:34Z,@弘历爱新觉罗
The face of Trudeau tells he's leaving,[],2024-11-09T06:33:15Z,@solo.108
Call an election Justin… you continue to speak knowing that nobody wants you relevant anymore.,[],2024-11-09T04:23:46Z,@jamesrichards8149
"If Trudeau doesn't get voted out as hard as Kamala I'll be so embarrassed to live in this Country
I haven't felt patriotic in years",[],2024-11-09T02:12:49Z,@BRY__BRY
"Ive always been socially progressive, but i dont have any leaders i can believe in. Pc is a real consideration.",[],2024-11-08T23:56:14Z,@uninspired3583
Trudeau your cocaine was caught - Boissonnault - Woow Canada Drug lords he we go Trudeau supply must be running out - - Well How much did Trudeau get in India using Canada Jet,[],2024-11-08T20:45:14Z,@jimmy_angel1
Trudeau is a JOKE!,[],2024-11-08T20:44:36Z,@StevenP-f1g
Time’s up for Trudeau.,[],2024-11-08T19:27:00Z,@ConsoleCleric
Middle class getting more poor.,[],2024-11-08T17:38:07Z,@MrMannyhw
Justinas tampon is on fire!🔥🔥🔥,[],2024-11-08T17:05:42Z,@LJC370
He keeps saying he won’t get security clearance to keep Canadian safe. Give me a freaking break. Who’s running the country right now who is supposed to be keeping Canadians safe.🤷🏻‍♀️ I can’t stand this guy anymore. I just can’t. I don’t know how he sleeps at night with what he’s done to our country.,[],2024-11-08T15:51:06Z,@susymartins9531
"They all kept repeating same questions and answers, boring 😞",[],2024-11-08T14:54:07Z,@HumphreyDeFirst
"What is this ultra commitment to gas and oil. Between flooding, wildfires, droughts, and the death of multple species on our planet, why are we against transitioning to cleaner energy that will save our lives and our world down the line.",[],2024-11-08T14:04:40Z,@rizzzzzyyyyyyyyrizzzzz
this is NOT a debate this is just roasting,[],2024-11-08T13:47:18Z,@Nikzmat
Who is this lady sitting next to trudeau 😂,[],2024-11-08T13:44:12Z,@taimoorahmad4847
Poilievre and Oil companies are against cleaner air .... it's our air and we want it clean.,[],2024-11-08T12:36:15Z,@pauldonovan9713
Poilievre is too anti Canadian.,['No no. Trudeau is anti-Canadian.'],2024-11-08T12:33:45Z,@pauldonovan9713
Trudeau and the Liberal Party have no right to wear a Poppy! They have destroyed everything that they fought for!,[],2024-11-08T11:31:16Z,@debbiebarrett9664
Jagmeet 🤡 clown,[],2024-11-08T10:40:53Z,@Alchemy_life
Trump will eat Rideau for lunch and poop him out by dinner !,[],2024-11-08T09:56:49Z,@riobabic8960
Justin you will be FIRED NEXT,[],2024-11-08T09:37:02Z,@music20204
Soooo WHY is Pierre dumping on my President?!!,[],2024-11-08T09:08:00Z,@linamarie84
"This is why the republic works. We don’t like it, we change it. I pray the best for our neighbors! Only you all know what’s best.",[],2024-11-08T07:37:50Z,@ReviewWingsDSP
Yes it was richest middle class of the world in canada let’s bring that prosperity back for what canada known for in world best healthcare best wages work hard and afford house,[],2024-11-08T06:34:13Z,@svnpatel0
"Trudeau pls submit your resignation. You should continue your career in education field and don't life's of civilians, who did nothing wrong to you or your family",[],2024-11-08T06:30:51Z,@vijayjain2099
"Canadian politics are entertaining,too 😃 😀 😄 😁 🤣",[],2024-11-08T06:07:29Z,@D25.11
"True DOH !  The best predictor of future behaviour is past behavior and we are done with your rhetoric .... NO MORE coup for you,  Monsieur.",[],2024-11-08T05:33:37Z,@debbie2027
You are Dumb Mr.Trudeau😂😂,[],2024-11-08T05:07:34Z,@shraddhadesai537
Trudeau is holding an entire country back because of his ego,[],2024-11-08T04:11:33Z,@johnryadsahib4351
Trudeau must go,[],2024-11-08T03:34:05Z,@Use1545
"I am American and I love Canada, it is so dear to my heart. I have been to Toronto and Montreal and I have always wanted to visit eastern provinces like Newfoundland&Labrador, Nova Scotia and New Brunswick and western provinces like Alberta and British Columbia, and surely the Canadian North. I hope you soon get rid of Trudeau who has done immense damage to the country. 🇺🇲🇨🇦",['Thank you❤'],2024-11-08T03:17:47Z,@John-r6c1k
Cut mortgage rates in half,[],2024-11-08T01:37:47Z,@WesternPatriot-v8m
Lets all have a petition to call an early election,[],2024-11-08T00:58:35Z,@kuriangeorgebinu5393
The liberals end time is getting closer every day. They don’t realize it but a PP government is getting ready to lead Canadians into prosperity.,[],2024-11-07T23:54:47Z,@derekorgan3682
Here from America go poilivere,[],2024-11-07T23:52:58Z,@aaron2512
Blah blah blah,[],2024-11-07T23:20:39Z,@jayracette2867
My hope is that Trump makes huge terriffs to our country. The only way to get Canadians to wake the hell up and remove the dictatorship of the liberal party.,[],2024-11-07T23:19:00Z,@RobinLoxley-t7s
"I wonder if Trudeau is feeling some flash backs to the finals days of his drama days contract. I'm sure, at the time, they wanted to guide him to the door just as gently as his back-bencher's and cabinet member's want to now! At least as quickly!",[],2024-11-07T22:34:24Z,@SkyPilot-v8g
I brought Donuts for everyone!,[],2024-11-07T21:28:58Z,@YuhHueyChen
"Canada will need to spend 80 billion a year on Defense to meet 2% of GDP , won't happen , neither party would allow it or could afford it. Won't happen in 2025 , 2030 or 2040 Reality",[],2024-11-07T21:03:00Z,@tw8060
JT needs to be in a boxing ring against Iron Mike.. it will probably knock the sense back to him,[],2024-11-07T20:39:47Z,@flicks7455
Trudeau is gonna get turfed 💪 I cannot wait,"[""let's vote for the Tories so all of this scoundrelism comes to an end.""]",2024-11-07T20:30:20Z,@Jasmine-k9m2b
Best thing ever Justin Trudeau is about to be fired worst leader in canadian history,[],2024-11-07T18:18:11Z,@timarseneault6822
"PP is the leader of the official opposition, it's not his responsibility to name the names.  It's the PM's responsibility.",[],2024-11-07T17:40:05Z,@thepegger8422
If canada wants to shelter them and keep them in the country that has nothing to do woth america lmao. They just have to deport who ever tries coming in.,[],2024-11-07T17:30:55Z,@JohnGotti-o7k
Jistin Trudeau  is a clown! Now why did he ban Australia today 😂😂,[],2024-11-07T17:28:01Z,@harsh2945
"security clearance, security clearance, security clearance is all i heard from castro's son",[],2024-11-07T17:04:30Z,@Wasaki_Walk
"At this point, I’d vote for Kamala Harris for Prime minister if it was a choice between her and Trudeau, 😅",[],2024-11-07T16:54:08Z,@cleomenes01
Khalistani always vote for Justin 😂😂😂😂,[],2024-11-07T15:53:37Z,@Sonyyay-m8z
"How long are they going to continue the run over with Canadians? The humiliation? We can't take it anymore, Mr. PM. As I said before, we have to vote for the Tories, we’ll vote for the Tories so that all this scoundrel comes to an end.",[],2024-11-07T14:36:29Z,@dougxvale
Resistance towards the Convoy and Pierre Polivere who wants to make Canada great again. Resistance Canada do not let them take over our beautiful country. 🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴🇯🇴,[],2024-11-07T14:16:22Z,@Sunny-j5y
This was a silent coup that invaded Canada.  There is a connection between the Canadian Convoy and Isreal.,[],2024-11-07T14:14:07Z,@Sunny-j5y
"To Canada, we did our part here in the states, it's time to do your part.  Justin Trudeau...you are as they say in pro sports drafts...ON THE CLOCK.  And the clock is ticking ever so fast towards your end.",[],2024-11-07T13:39:46Z,@NEPatriot
Trudeau needs to go,[],2024-11-07T13:26:55Z,@jerrybanman6
Both those men are horrible! Canada will end up like the states,[],2024-11-07T12:44:41Z,@KeljaSamiNation
"Honestly Trudeau, you gotta step aside and let someone else step up. Not your fault but its time to step aside. Liberals 2025 🇨🇦",[],2024-11-07T12:38:53Z,@bogoam
"We need an early election!
PP for PM",[],2024-11-07T11:37:30Z,@SlimTheSpudGod
CANADIANS WANT AN ELECTION 🇨🇦,['Why do we have to wait until October of next year? Can it be in February at least?!'],2024-11-07T11:34:02Z,@Keepasking123
Politicians are all human garbage.  Including Trudeau and Poilievre.,['What are your thoughts on Singh?'],2024-11-07T11:14:59Z,@shaykespeeer7040
You will go out Justinder... you failed Canadians and the faithful Indians by harbouring Khalistani Extremists in your country,[],2024-11-07T08:52:22Z,@Unknownbass18
"Too bad so sad  I feel a new breeze is blowing    Drill baby drill what is your response Heat pumps dont work when its  30 below 0  . Trumps  message to Trudeau get   out of our way, Alberta just got invited  to send there oil to  USA and we expect the key stone pipe line to follow . Sorry Trudeau is not wanted Here, or any where for that matter .",[],2024-11-07T08:50:43Z,@TuzzieFPV
switching the topic to national security when the topic is inflation and keeping jobs in Canada LOL,[],2024-11-07T08:35:38Z,@ARandomGuy-r8q
"NDP is a joke. Great questions from the Bloq, non-answers from Trudeau. Looking forward to a Conservative leader next election.",[],2024-11-07T08:35:28Z,@kurt1s53
"Honestly, I'm tired of the algorithm taking up my bandwidth with this garbage that is the state of Canada. I've mostly been here for the PP show...but holyee Chrisstt.. PP you already got this election in the bag...please dont let JT align with economic prosperity for Canada.",[],2024-11-07T07:40:38Z,@bobmann879
"Mr. Singh, are you serious ?",[],2024-11-07T06:03:39Z,@jefftaylor844
Get Trudeau out now or Trump will finish off Canadian economy.,[],2024-11-07T05:48:24Z,@dieredefreiheit-r1b
"lol here we go, now Trudeau and Jugmeet have someone to blame for inflation and any other mess they make... Trump LOL, instead of taking responsibility and adjusting, they just blame.",[],2024-11-07T05:34:22Z,@user77654
How are our Mines going to go south? Our resources going to grow legs and walk south.,[],2024-11-07T04:33:31Z,@michaels3535
I seriously love Montreal they dont stop in a sector of business always with new style thanks,[],2024-11-07T04:24:48Z,@sreeram483
Why the hell is Roxham Road still open??!?!!??!?!    WTF are these politicians doing besides lining their pockets??   They're all the same.,[],2024-11-07T04:07:46Z,@rupertperiwinkle4477
yea I lost my job thanks Trudeau!,['Yeah I don’t have the budget to move out of my parents place just yet for crying out loud'],2024-11-07T04:06:10Z,@user77654
Canada is screwed.   Trump is going to screw up Canada's economy.,[],2024-11-07T04:05:13Z,@rupertperiwinkle4477
"Trudeau bad mouthed Trump so many many times. Now he has to face Trump. Both Freeland and Trudeau are super nervous and telling Canadians to remain calm! What a joke! Like Americans, we Canadians are experiencing sky high grocery bills and seriously the country is just going down.",[],2024-11-07T04:04:25Z,@nikiclio
"I love how Truedumdum thinks security clearance of one person (we know the reasoning behind his ploy) will save our national security when liberal policies have already destroyed any we might have had. Our joke PM is a broken record of gibberish Canadians are either tired of hearing or gullible enough to keep playing.
WAKE UP!
TRUDEAU MUST GO!!!!",[],2024-11-07T03:44:58Z,@RL-ku8lw
Trudeau must go,[],2024-11-07T03:14:52Z,@mocaiberigor3157
where is the other Randy ?,[],2024-11-07T02:54:31Z,@egc04
Trudeau must go !!!!,[],2024-11-07T02:36:16Z,@reillyouwerling2067
Liberals are responsible for scandalous actions and inflation,[],2024-11-07T02:30:23Z,@jamiehill9137
Trudeau is getting desperate that he is going to be arrested for his crimes and corruption.,[],2024-11-07T02:25:42Z,@VanceSheppard-w2f
trudeau.......just go.....now. You have done enough damage to our country. Get lost.!!!!,[],2024-11-07T02:17:39Z,@larrywoodley9803
"$450 millions of dollars for national women's day!
All money laundry again.",[],2024-11-07T01:47:52Z,@JerryZo-x4l
"Where is Canadas trump why fight over these things when they are all important and need changes for all of this, bunch of humps",[],2024-11-07T01:39:04Z,@codykepke8201
9:00 sit tf down Jaghead,[],2024-11-07T01:30:24Z,@patrickc9670
This guy trudeau keeps on repeating the same thing why dont you just release the names its your job to keep Canadian safe,"['I dont like Trudeau,  but when it comes to foreign policy, specifically Pollieve is a coward and a wimp.  Pollieve is going to take every opportunity to hand over canada, for free, into the complete ownership of the usa.']",2024-11-07T01:28:30Z,@sadrickblacks9150
Remove Trudeau and the budget will balance itself!,[],2024-11-07T01:18:42Z,@metalworksboilers5622
"To counter imposed tariff on dairy and agricultural goods, we can consider consumption in the country instead of “free trade” them out.",[],2024-11-07T01:03:23Z,@Donquiontee125
"These debates are turning out to b predictable , need new stuff😅",[],2024-11-07T00:46:27Z,@MCBC_5
this Polly pocket guy only talks in Canada comparisons with the usa and tax cuts that are soo outlandish it's borderline insanity.,[],2024-11-07T00:42:22Z,@synaxYO
I vote for Pierre,[],2024-11-07T00:26:23Z,@hildaramroop9611
"As a non-Canadian, to me these debates always look like comedy shows with all the applause, booing, and dramatic speeches.","[""They kind of are lol. Isn't politics a popularity contest at the end of the day? I love watching these"", ""As a 65 year old Canadian, born here I agree with you. This is why it takes so long do anything, having to repeat and say everthing in English and then French. It's a joke."", 'Screaming at a wall no results oh cabada', 'They are']",2024-11-07T00:16:20Z,@tfisthisman
Let's do something like the Americans and vote I the PPC party instead of these mainstream political parties I'm gonna run for the party for Canadiens the People's party of Canada,[],2024-11-07T00:04:33Z,@GeorgeKoebel
Everybody wearing ‘ poppy brooch’ and poppy was asked would he liked to be born again and answer was straightforward correct ‘ one lifetime is enough’😊,[],2024-11-06T23:47:03Z,@malvinderkaur541
Call the election! We wont survive!,[],2024-11-06T23:40:44Z,@KevinJayJohnson
Such a terrible public speaker Justin is.,[],2024-11-06T23:39:44Z,@doosworld1901
Trudeau 🤞,[],2024-11-06T23:37:11Z,@murshedchy8676
Does anything of substance happen at these daily sessions? Its all about actionless verbal quips on repeat. This is a waste of time. Its also embarrassing to listen to. Much like a highscool dance off.,[],2024-11-06T23:30:22Z,@Spritel4
Now that Trump is elected it’s all gonna be business we need somebody stronger than Trudeau to deal with him,[],2024-11-06T23:10:50Z,@jpdumais5229
"Poilievre is weak  when it comes to foreign policy, he can’t even open his mouth against Indian government. He will line up behind Trump against Canada",[],2024-11-06T23:09:10Z,@HamidA-to8vy
Anyone one else sick of this daily clown show with canned non answers for every question,[],2024-11-06T23:07:52Z,@JO-my5ft
The only ones clapping for the liberals are the liberals LOL,"[""🤷🏾\u200d♀️ I don't get your point"", ""\u200b@@anchmcleit's because you are a liberal 😂"", 'Of course the liberals are clapping for themselves']",2024-11-06T23:06:02Z,@COPSTOPPER-m2n
Call another vote of no confidence to the PM!!!! we need him out,[],2024-11-06T23:02:20Z,@MR.Jonny-boy
Trudumb needs to go ASAP. Every day it gets worse,[],2024-11-06T22:58:00Z,@afar9587
Steel worker gave his feedback while your visit at steel plant Remember?,"['Yah, those workers as smart as the Mexlcans voting for Trump.', '@@BobBob-b5d Racist', '@@Joel-k6v6oWoke crybaby.']",2024-11-06T22:42:54Z,@inderjitsingh8654
Step TF Down !!!,[],2024-11-06T22:41:40Z,@shs646
Buddy the military was worse in Trudeaus administration that in Harper’s…..,[],2024-11-06T22:37:55Z,@juanvargasmartinez5204
Trudeau is next!!!! I can’t wait!!!!!,[],2024-11-06T22:36:51Z,@Gillz34
Make Alberta Canada Again,[],2024-11-06T22:34:05Z,@ivermectin3191
Trudeau is so…..done,[],2024-11-06T22:31:18Z,@Makeitblue127
"Will Pierre be the ultimate savior? Probably will, probably wont. One thing is for sure, is that we cant keeping having Justin in charge of this country.",['We need to take a chance and try someone new.'],2024-11-06T22:22:50Z,@ElJefe1986
Trudeau is not right or honorable. Have you not been paying attention to all the liberals and their friends' lining there  pockets !!!!,[],2024-11-06T22:18:42Z,@donnalandry4474
Axe the tax. Why would we create and impose tariff on ourselves. Justin is daft.,"['Similar reasoning as sanctioning criminals for bad behaviours. You want them to change for the better.', '@@BobBob-b5d A ridiculous strawman argument. Grow up.']",2024-11-06T22:16:22Z,@TheGruntski
10 years in power and the Trudeau NDPLiberals blame everyone but themselves. Is there anyone within the NDPLiberals that take responsibility for their horrific failed policies? Shameful.,[],2024-11-06T22:07:22Z,@davidharrow9025
Trudeaus attempt at pointing fingers at PP for not getting security clearance is a joke. PP doesn't need it. Trudeau knows all the threats and security breaches.. yet has done nothing.  Why? What is he hiding? Dont fall for it folks. Smoke and mirrors from Trudeau.,[],2024-11-06T21:56:30Z,@calbro932
They think there’s going to be an influx of “American refugees”. They’ve completely lost touch with reality,[],2024-11-06T21:54:44Z,@Sloppygator9309
Trudeau is trying desperately to shut Pierre down by getting him to sign those security papers ….he thinks. We’re all stupid.,[],2024-11-06T21:52:39Z,@AnastasiaManellis
And to think the liberals support all of this all these taxes …..I guess he needs it because he is behind for nato…..,[],2024-11-06T21:51:30Z,@AnastasiaManellis
We call for an election,[],2024-11-06T21:50:52Z,@AnastasiaManellis
"9 years of incredible hardspip, a traumatized nation, a betrayed nation.",[],2024-11-06T21:47:59Z,@AnastasiaManellis
Trudeau the worst PM in the history,[],2024-11-06T21:47:08Z,@e33or772
Why is Anita Anand sitting like this?,['She’s always like that. She’s completely checked out after trying to sell Canada to India before Trudeau had to place her in a new position.'],2024-11-06T21:45:27Z,@ani_ds12
He was talking down to you! Nobody else,[],2024-11-06T21:45:15Z,@brandonliberty9218
Nice to see both sides !! Not just one view,[],2024-11-06T21:44:33Z,@bozan8036
"I vote for Trudeau so that the world can beat canada, india can beat canada 😂",[],2024-11-06T21:34:17Z,@gagangangwal4235
"I have no money, have to go to food bank, no prospects, outnumbered by immigrants, on the verge of being homeless. Get him out of there!",[],2024-11-06T21:33:47Z,@Hi__5
Trudeau must go!!!!,[],2024-11-06T21:31:20Z,@brianbvm39
"Does Donald Trump forgot about the way Justin Trudeau spoke about him?
What a pathetic little Nancy boy",[],2024-11-06T21:29:58Z,@VandaleighIndustrial
Make Canada great again!!!,[],2024-11-06T21:29:36Z,@scottgibb2
"As an outsider, i can tell you, none of what happens here matters to canada. Because most of Canadian matters are decided in Washington. These leaders cannot even dig a oil well without approval from above. I am correct?😂😂","['Not wrong 😂', ""Not sure I follow you. I don't think we're dependent on the United States for anything except international security and trade.""]",2024-11-06T21:22:59Z,@DILIPRAJAME
Soon Trudeau you are GONE! Canada can not wait to eject you and your entire incompetent staff.,[],2024-11-06T21:19:29Z,@shawnscott9704
Trudeau sounds extra rattled today. Canadians are watching,"[""Nothing's changed. He sounds the same every single day."", 'I dont like Trudeau,  but when it comes to foreign policy, specifically Pollieve is a coward and a wimp.  Pollieve is going to take every opportunity to hand over canada, for free, into the complete ownership of the usa.']",2024-11-06T21:19:11Z,@paulfrank4326
The liberal news station !!!!,[],2024-11-06T21:18:29Z,@panterawill7083
canada needs to publicly Charge Trudeau on Camera at his own cost.,[],2024-11-06T21:18:21Z,@ianwhitecross4196
Trudea has security clearance but takes no action,"['Pierre is too lazy to do the work and get it. He does not want to go through all those documents because that requires work.', '\u200b@@StallionStudios1234Cry about it liberal']",2024-11-06T21:18:14Z,@Mikeluider-d3e
"Under Harper we were not a world laughingstock, we were safer, more free, more financial sound, happier, houses and rent more affordable. We will get better once again when the Liberals are gone and the PC's are back in power.",['Indla wagging its finger at you embarrasses you that much?'],2024-11-06T21:13:05Z,@ChrisSaunders-mj9kg
"Justin...it is so obvious that you are not the smartest person in the room...in any room...you're embarrassing yourself, and you don't even see it!",[],2024-11-06T21:05:37Z,@kevincaan2862
"Both live in free government housing, I am sure they don’t pay utilities or even pay for groceries. They both need to live on a normal persons wages, stop bitching each other out,do their jobs!",[],2024-11-06T21:04:20Z,@denisejohnston9862
Give it a rest about security...you are the PM and well we all know the rest....🙄,[],2024-11-06T21:03:19Z,@jeannettelandry2212
Trudeau ruined most of Canadians futures,[],2024-11-06T21:02:12Z,@DaniB1229
"""The WE charity is the only charity in Canada that can handle scholarships""",[],2024-11-06T20:58:29Z,@Meeksballs
IMA RUN FOR PRIME M😅MINSTER,[],2024-11-06T20:57:40Z,@White2pacytdc
Trudeau doesn't debate. He and his squad of goons simply berate the opposition and spread misinformation.,[],2024-11-06T20:56:28Z,@georgehiotis
"Trudeau is like Biden, it's time","['Election in 2025 if I am not mistaken', '@@denisejohnston9862your right']",2024-11-06T20:53:23Z,@huutripham4796
