comment,replies,date,user_name
Congratulations 👏👏 🥳🎉,[],2024-11-09T19:12:10Z,@free2ride19
"With much joy, love, and respect, I congratulate you on winning this 2024 US presidential election. You will do well in your 4 years tenure. God is with you, God bless you, sir. Congratulations once again, and thank you, President Donald J. Trump.",[],2024-11-09T19:07:26Z,@NathanGardner-k5k
Donald John Trump - President - Again!!!:YES¡!,[],2024-11-09T19:05:40Z,@ShirleyannWalkowicz
"U know what I think, so many people should stop going to Beyoncé, jlo, Cardi B convert just because they sold their souls for money for more millions which is disgusting disgusting 🤢🤢🤢 everyone who went against trump should be embarrassed today and they are against good people",[],2024-11-09T18:59:48Z,@zmiliute8530
"My first time voting! If not for him losing in 2020, I’d’ve never had the opportunity to vote for him!",[],2024-11-09T18:54:54Z,@jaypaint4855
from morocco   cangratulation,[],2024-11-09T18:51:01Z,@namosjilali367
"Who knows this line has been used for a bit, perfect trilogy for a comeback: a new hope (2016), the empire strikes back (2020), the return of the Jedi (2024). It was an honor to have contributed on this legacy, not just of the individual making the greatest political comeback in modern history, but to the movement that he resurfaced.

America First🇺🇸🦅🇺🇸🦅🇺🇸🦅🇺🇸🦅",[],2024-11-09T18:25:28Z,@jeandelgado7203
"Trumps for the masses , in the words of Charlie spread the love  https://www.youtube.com/watch?v=CsgaFKwUA6g",[],2024-11-09T18:22:15Z,@WhiteRabbit1980
14:25,[],2024-11-09T18:20:08Z,@XBlakeFreemanX
"Americans please continue to pray for our President Trump, his beautiful wife, family and staff. There are evil forces (speaking mostly spiritual) who will attack the goals our President has to restore our nation. He needs our prayers and those of us who can see in the spirit need to stay humble as II Chronicles 7:14 helped win the election and it will continue to help w the rebuilding of our nation and what God’s Word birthed it to be.",[],2024-11-09T17:54:26Z,@mildredbarrera1188
Trump winning this election has made me decide to join our US military. A country and president i am proud to serve.,[],2024-11-09T17:25:14Z,@redmesatv8277
"Story predict trump end!
https://www.youtube.com/watch?v=3zeQrJvDoiA",[],2024-11-09T16:52:40Z,@brief_stories
"Wow a moment.  
Greatest comeback in American political history. 
He had everything on the line. 
Literally his life and freedom. 
He overcame it all. 
Fight, fight, fight. 
God bless the USA. 🇺🇸",[],2024-11-09T16:43:16Z,@freddo6941
"Congratulations.Oresudent TRUMP.WELCOME ONCE MORE IN THE WHITE HIUSE.YOUR SUCCESS IS FROM THE ALIGHTY GOD,BECAUSE YOU OUT HIM FIRST.YUR GREATEST POLICAL MOVEMENT YOU CAN DO,IS TO FREE COUNTRIES TAKEN IN BONDAGES BY BIG COUNTRIES 
LIBERATE ISRAEL,UKRAINE,, LIBERATE AMBAZONIA , ETC...
YES,WE KNOW YOU WILL DO IT.GOD BLESS YOU AN
DD THE AMERICAN PEOPLE.",[],2024-11-09T16:39:01Z,@MathiasM-c7u
God save Trump,[],2024-11-09T16:31:29Z,@Vegas.-
13:26 yes for sure,[],2024-11-09T16:09:18Z,@charisematul6081
So grateful our country will be our country again am very excited to see upcoming changes made soon ....the right one won,[],2024-11-09T16:03:59Z,@charisematul6081
God Bless America!,[],2024-11-09T15:43:31Z,@pdive01
